title,tag,info,comments,content
房思琪的初恋乐园,豆瓣图书标签: 小说,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,(103129人评价),"令人心碎却无能为力的真实故事。
向死而生的文学绝唱  打动万千读者的年度华语小说。
李银河 戴锦华 骆以军 张悦然 冯唐 詹宏志 蒋方舟 史航 等多位学者作..."
小王子,豆瓣图书标签: 小说,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,(433622人评价),小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行...
许三观卖血记,豆瓣图书标签: 小说,余华 / 南海出版公司 / 1998-9 / 16.80元,(139910人评价),《许三观卖血记》是余华1995年创作的一部长篇小说，它以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖...
人间失格,豆瓣图书标签: 小说,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元,(136385人评价),《人间失格》是日本著名小说家太宰治最具影响力的小说作品，同时也是糸色望（注：动漫《再见！绝望先生》的主角）老师日常生活必备的读物之一。另外在日本轻小说《文学...
骆驼祥子,豆瓣图书标签: 小说,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,(102298人评价),《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当...
长安十二时辰 上,豆瓣图书标签: 小说,马伯庸 / 湖南文艺出版社 / 2017-1-1 / CNY 79.60,(30711人评价),"唐天宝三年，元月十四日，长安。
大唐皇都的居民不知道，上元节辉煌灯火亮起之时，等待他们的，将是场吞噬一切的劫难。
突厥、狼卫、绑架、暗杀、烈焰、焚城，毁灭长..."
鲁滨逊漂流记,豆瓣图书标签: 小说,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,(112977人评价),"《鲁滨逊飘流记》是18世纪英国作家达尼尔·笛福的代表作品，也是一部具有广泛的世界性影响的作品。
小说以1704年一名苏格兰水手亚历山大·薛里基洛克航海遇险，..."
盗墓笔记,豆瓣图书标签: 小说,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,(128174人评价),"五十年前，一群长沙土夫子（盗墓贼）挖到一部战国帛书，残篇中记载了一座奇特的战国古墓的位置，但那群土夫子在地下碰上了诡异事件，几乎全部身亡。
五十年后，其中一..."
人生海海,豆瓣图书标签: 小说,麦家 / 北京十月文艺出版社 / 2019-4 / 55.00元,(10856人评价),"“他是全村最出奇古怪的人，古怪的名目要扳着指头一个一个数：
第一，他当过国民党军队的上校，是革命群众要斗争的对象。但大家一边斗争他，一边又巴结讨好他，家里出..."
﻿追风筝的人,豆瓣图书标签: 外国文学,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,(512690人评价),12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...
小王子,豆瓣图书标签: 外国文学,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,(433622人评价),小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行...
百年孤独,豆瓣图书标签: 外国文学,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,(223215人评价),《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...
月亮与六便士,豆瓣图书标签: 外国文学,[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元,(90376人评价),"“满地都是六便士，他却抬头看见了月亮。”
银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一..."
鲁滨逊漂流记,豆瓣图书标签: 外国文学,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,(112977人评价),"《鲁滨逊飘流记》是18世纪英国作家达尼尔·笛福的代表作品，也是一部具有广泛的世界性影响的作品。
小说以1704年一名苏格兰水手亚历山大·薛里基洛克航海遇险，..."
傲慢与偏见,豆瓣图书标签: 外国文学,[英] 奥斯丁 / 张玲、张扬 / 人民文学出版社 / 1993-7 / 13.00元,(147253人评价),《傲慢与偏见》是简·奥斯汀的代表作，是一部描写爱情与婚姻的经典小说。作品以男女主人公达西和伊丽莎白由于傲慢和偏见而产生的爱情纠葛为线索，共写了四起姻缘：伊丽...
简爱（英文全本）,豆瓣图书标签: 外国文学,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,(157983人评价),《简爱》是英国女作家夏洛蒂·勃朗特的代表作品。女主人公简爱是一个追赶求平等与自主的知识女性形象，小说以其感人的对于一位“灰姑娘式”人物奋斗史的刻划取胜，《简...
霍乱时期的爱情,豆瓣图书标签: 外国文学,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,(131545人评价),"★马尔克斯唯一正式授权，首次完整翻译
★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯
★这部光芒闪耀、令人心碎的作品是人类有史..."
老人与海,豆瓣图书标签: 外国文学,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,(116979人评价),本书讲述了一个渔夫的故事。古巴老渔夫圣地亚哥在连续八十四天没捕到鱼的情况下，终于独自钓上了一条大马林鱼，但这鱼实在大，把他的小船在海上拖了三天才筋疲力尽，被...
飘,豆瓣图书标签: 外国文学,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,(123129人评价),小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环...
1984,豆瓣图书标签: 外国文学,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,(100865人评价),"★村上春树以《1Q84》向本书致敬
★著名学者刘绍铭经典译本内地首次出版
★62种文字风靡110个国家，全球销量超过5000万册
★《时代周刊》“最好的10..."
哈利·波特与魔法石,豆瓣图书标签: 外国文学,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,(143620人评价),一岁的哈利・波特失去父母后，神秘地出现在姨父姨妈家的门前。哈利在姨父家饱受欺凌，度过十年极其痛苦的日子。姨父和姨妈好似凶神恶煞，他们那混世魔王儿子达力――一...
解忧杂货店,豆瓣图书标签: 外国文学,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,(505949人评价),"现代人内心流失的东西，这家杂货店能帮你找回——
僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。
因男友身患绝..."
不能承受的生命之轻,豆瓣图书标签: 外国文学,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,(181032人评价),《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小...
达·芬奇密码,豆瓣图书标签: 外国文学,[美] 丹·布朗 / 朱振武、吴晟、周元晓 / 上海人民出版社 / 2004-2 / 28.00元,(182773人评价),哈佛大学的符号学专家罗伯特·兰登在法国巴黎出差期间的一个午夜接到一个紧急电话，得知卢浮宫博物馆年迈的馆长被人杀害在卢浮宫的博物馆里，人们在他的尸体旁边发现了...
局外人,豆瓣图书标签: 外国文学,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,(85235人评价),《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和...
挪威的森林,豆瓣图书标签: 外国文学,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,(276479人评价),这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，...
了不起的盖茨比,豆瓣图书标签: 外国文学,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,(82874人评价),盖茨比为了久久地抱着的一个梦而付出了很高的代价。他死后，尼克发觉是汤姆暗中挑拨威尔逊去杀死盖茨比。他感到东部鬼影幢幢，世态炎凉，便决定回中西部老家去。这是一...
茶花女,豆瓣图书标签: 外国文学,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,(88229人评价),《茶花女》为我们塑造了一些生动、鲜明的艺术形象，而其中最突出、最令人难忘的自然是女主人公茶花女玛格丽特。读者们切莫把玛格丽特和阿尔丰西娜·普莱西小姐混为一谈...
牧羊少年奇幻之旅,豆瓣图书标签: 外国文学,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,(95562人评价),牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间...
﻿追风筝的人,豆瓣图书标签: 文学,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,(512690人评价),12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...
小王子,豆瓣图书标签: 文学,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,(433622人评价),小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行...
围城,豆瓣图书标签: 文学,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,(301067人评价),《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出...
活着,豆瓣图书标签: 文学,余华 / 作家出版社 / 2012-8-1 / 20.00元,(307184人评价),《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...
平凡的世界（全三部）,豆瓣图书标签: 文学,路遥 / 人民文学出版社 / 2005-1 / 64.00元,(190682人评价),《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广...
解忧杂货店,豆瓣图书标签: 文学,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,(505949人评价),"现代人内心流失的东西，这家杂货店能帮你找回——
僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。
因男友身患绝..."
百年孤独,豆瓣图书标签: 文学,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,(223215人评价),《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...
撒哈拉的故事,豆瓣图书标签: 文学,三毛 / 皇冠出版社 / 1976 / 160 TWD,(143240人评价),"三毛作品中最膾炙人口的《撒哈拉的故事》﹐
由１２篇精采動人的散文結合而成﹐
其中＜沙漠中的飯店＞﹐
是三毛適應荒涼單調的沙漠生活後﹐
重新拾筆的第一篇文字﹐..."
人间失格,豆瓣图书标签: 文学,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元,(136385人评价),《人间失格》是日本著名小说家太宰治最具影响力的小说作品，同时也是糸色望（注：动漫《再见！绝望先生》的主角）老师日常生活必备的读物之一。另外在日本轻小说《文学...
边城,豆瓣图书标签: 文学,沈从文、黄永玉 卓雅 插图. / 北岳文艺出版社 / 2002-4 / 12.00元,(136896人评价),《边城》是沈从文的代表作，写于一九三三年至一九三四年初。这篇作品如沈从文的其他湘西作品，着眼于普通人、善良人的命运变迁，描摹了湘女翠翠阴差阳错的生活悲剧，诚...
许三观卖血记,豆瓣图书标签: 文学,余华 / 南海出版公司 / 1998-9 / 16.80元,(139910人评价),《许三观卖血记》是余华1995年创作的一部长篇小说，它以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖...
月亮与六便士,豆瓣图书标签: 文学,[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元,(90376人评价),"“满地都是六便士，他却抬头看见了月亮。”
银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一..."
红楼梦,豆瓣图书标签: 文学,[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,(215287人评价),《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主...
霍乱时期的爱情,豆瓣图书标签: 文学,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,(131545人评价),"★马尔克斯唯一正式授权，首次完整翻译
★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯
★这部光芒闪耀、令人心碎的作品是人类有史..."
房思琪的初恋乐园,豆瓣图书标签: 文学,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,(103129人评价),"令人心碎却无能为力的真实故事。
向死而生的文学绝唱  打动万千读者的年度华语小说。
李银河 戴锦华 骆以军 张悦然 冯唐 詹宏志 蒋方舟 史航 等多位学者作..."
我们仨,豆瓣图书标签: 文学,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,(177587人评价),《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨...
三体,豆瓣图书标签: 文学,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,(304073人评价),文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的...
不能承受的生命之轻,豆瓣图书标签: 文学,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,(181032人评价),《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小...
挪威的森林,豆瓣图书标签: 文学,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,(276479人评价),这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，...
骆驼祥子,豆瓣图书标签: 文学,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,(102298人评价),《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当...
﻿我们仨,豆瓣图书标签: 随笔,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,(177587人评价),《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨...
撒哈拉的故事,豆瓣图书标签: 随笔,三毛 / 皇冠出版社 / 1976 / 160 TWD,(143240人评价),"三毛作品中最膾炙人口的《撒哈拉的故事》﹐
由１２篇精采動人的散文結合而成﹐
其中＜沙漠中的飯店＞﹐
是三毛適應荒涼單調的沙漠生活後﹐
重新拾筆的第一篇文字﹐..."
看见,豆瓣图书标签: 随笔,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,(217679人评价),《看见》是知名记者和主持人柴静讲述央视十年历程的自传性作品，既是柴静个人的成长告白书，某种程度上亦可视作中国社会十年变迁的备忘录。十年前她被选择成为国家电视...
目送,豆瓣图书标签: 随笔,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,(149439人评价),目送共由七十四篇散文组成，是为一本极具亲情、感人至深的文集。由父亲的逝世、母亲的苍老、儿子的离开、朋友的牵挂、兄弟的携手共行，写出失败和脆弱、失落和放手，写...
送你一颗子弹,豆瓣图书标签: 随笔,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,(114428人评价),这本书里记录的是作者2005—2009年左右(尤其是2006—2007年)生活里的点点滴滴。在这本书里，被“审视”的东西杂七杂八，有街上的疯老头，有同宿舍的...
沉默的大多数,豆瓣图书标签: 随笔,王小波 / 中国青年出版社 / 1997-10 / 27.00元,(75551人评价),这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见...
当我谈跑步时我谈些什么,豆瓣图书标签: 随笔,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,(66763人评价),"他以文字名满全球。
他的“蓝调”令万千人神迷忧伤。
文字是他的符号，“跑者蓝调”何尝不是？
不再是浮华迷茫，不再是旖旎感伤，不再羚羊挂角无迹可寻——写了几十..."
朝花夕拾,豆瓣图书标签: 随笔,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元,(57260人评价),"《小引》
《狗·猫·鼠》
《阿长与山海经》
《二十四孝图》
《五猖会》
《无常》
《从百草园到三味书屋》
《父亲的病》
《琐记》
《藤野先生》
《范爱农》
..."
梦里花落知多少,豆瓣图书标签: 随笔,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,(56409人评价),"《梦里花落知多少》记录了荷西过世后三毛的生活，共23篇。内容均为台湾皇冠出版社81年至88年的初版。
荷西的死对三毛又是一场劫难，因此由《背影》到这本书，在..."
瓦尔登湖,豆瓣图书标签: 随笔,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,(41395人评价),"这本书的思想是崇尚简朴生活，热爱大自然的风光，内容丰厚，意义深远，语言生动，意境深邃，就像是个智慧的老人，闪现哲理灵光，又有高山流水那样的境界。
书中记录了..."
亲爱的安德烈,豆瓣图书标签: 随笔,龙应台、[德] 安德烈 / 人民文学出版社 / 2008-12 / 26.00,(85170人评价),安德烈十四岁的时候，龙应台离开欧洲，返回台湾，就任台北市首任文化局长。等她卸任回到儿子身边，安德烈已是一个一百八十四公分高的十八岁的小伙子，坐在桌子另一边，...
我与地坛,豆瓣图书标签: 随笔,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,(39325人评价),收有“午餐半小时”、“我的遥远的清平湾”、“命若琴弦”、“第一人称”、“两个故事”等15篇史铁生的代表作。
北野武的小酒馆,豆瓣图书标签: 随笔,[日] 北野武 / 姜向明 / 雅众文化/新星出版社 / 2017-12 / 45.00,(11666人评价),"小巷深处的小酒馆内，最好的“下酒菜”非毒舌北野武的奇谈妙论莫属！
时而是令人捧腹不已的灵机妙谈，时而是令人瞠目结舌的率性直言，时而是令人抚掌长叹的严肃正论…..."
一只特立独行的猪,豆瓣图书标签: 随笔,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,(53599人评价),这本书里除了文化杂文，还有给其他书写的序言与跋语。这些序言与跋语也表明了我的一些态度。除此之外，还有一些轻松的随笔。不管什么书，我都不希望它太严肃，这一本也...
孩子你慢慢来,豆瓣图书标签: 随笔,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,(48846人评价),作为华人世界最有影响的一支笔，龙应台的文章有万丈豪气，然而《孩子你慢慢来》却令人惊叹，她的文字也可以有款款深情。这本书里的龙应台是一个母亲，作为母亲的龙应台...
皮囊,豆瓣图书标签: 随笔,蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元,(69244人评价),"一部有着小说阅读质感的散文集，也是一本“认心又认人”的书。
作者蔡崇达，本着对故乡亲人的情感，用一种客观、细致、冷静的方式，讲述了一系列刻在骨肉间故事。一个..."
城南旧事,豆瓣图书标签: 随笔,林海音 文、关维兴 图 / 中国青年出版社 / 2003-7 / 16.00元,(64780人评价),多少年来，《城南旧事》感动了一代又一代的读者，除了再版无数次的小说版外，1985年，本书在中国大陆搬上银幕，电影“城南旧事”获得“中国电影金鸡奖”、第二届“...
浮生六记,豆瓣图书标签: 随笔,（清）沈复 / 人民文学出版社 / 1999-1 / 5.70元,(32223人评价),这是一部自传体文学的作品，原书六卷，已逸其二，现仅存四卷（有所谓“足本”者，后二记系伪作。书中记叙了作者夫妇间平凡的家居生活，坎坷际遇，和各地浪游闻见。文辞...
陪安东尼度过漫长岁月,豆瓣图书标签: 随笔,安东尼 / 长江文艺出版社 / 2008-3 / 18.00,(57485人评价),《陪安东尼度过漫长岁月》收集了作者安东尼在《最小说》上刊登过的部分散文，以及50%以上的最新作品。安东尼以一个普通男生的口吻，讲述了从20到23、从大学到工...
有所不为的反叛者,豆瓣图书标签: 随笔,罗新 / 上海三联书店 / 2019-5 / 52.00元,(523人评价),罗新教授近年撰写了许多“与专业反思有关”的学术随笔，反映他对历史、历史学和历史学工作的反思与理解。这些与他走出书斋用自己的脚步丈量历史、发现中国、认识世界异...
﻿活着,豆瓣图书标签: 中国文学,余华 / 作家出版社 / 2012-8-1 / 20.00元,(307184人评价),《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...
围城,豆瓣图书标签: 中国文学,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,(301067人评价),《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出...
平凡的世界（全三部）,豆瓣图书标签: 中国文学,路遥 / 人民文学出版社 / 2005-1 / 64.00元,(190682人评价),《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广...
骆驼祥子,豆瓣图书标签: 中国文学,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,(102298人评价),《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当...
许三观卖血记,豆瓣图书标签: 中国文学,余华 / 南海出版公司 / 1998-9 / 16.80元,(139910人评价),《许三观卖血记》是余华1995年创作的一部长篇小说，它以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖...
边城,豆瓣图书标签: 中国文学,沈从文、黄永玉 卓雅 插图. / 北岳文艺出版社 / 2002-4 / 12.00元,(136896人评价),《边城》是沈从文的代表作，写于一九三三年至一九三四年初。这篇作品如沈从文的其他湘西作品，着眼于普通人、善良人的命运变迁，描摹了湘女翠翠阴差阳错的生活悲剧，诚...
